titulo,pre_informacion,cuerpo,post_informacion,ayuda,editable,no_aplica,opcional
Capital de cobertura,,"<table cellspacing=""0"" class=""Table"" style=""border-collapse:collapse"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; vertical-align:top; width:163px"">
			<p>BIENES ASEGURADOS</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:1px solid black; vertical-align:top; width:163px"">
			<p>TIPO DE COBERTURA</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:1px solid black; vertical-align:top; width:163px"">
			<p>SUMA ASEGURADA</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:1px solid black; vertical-align:top; width:163px"">
			<p>FRANQUICIA</p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; vertical-align:top; width:163px"">
			<p>&nbsp;</p>
			</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>",,"<p><em>(En este documento se deberán detallar los bienes a asegurar por rubro o cobertura solicitada, la suma asegurada y las franquicias máximas que quedan a cargo de la convocante. Los bienes muebles e inmuebles asegurados deben ser activos registrados y en funcionamiento.</em></p>

<p><em>Las Franquicias</em>&nbsp;<em>/Deducibles son sumas de dinero por las cuales la propia Convocante asume el riesgo en caso de siniestro, en la primera el asegurador se hace cargo cuando supera cierto porcentual de los valores asegurados pudiendo ser, dicho importe, establecido sobre el valor del siniestro o sobre el valor de la suma asegurada, en lo segundo el asegurado debe hacerse cargo necesariamente de una parte del siniestro independientemente de la intensidad del mismo, por tanto, en esta sección la convocante podrá indicar si la cobertura considerará la existencia o no de deducibles y el valor que representarán las mismas.)</em></p>",True,False,False
Resumen de los requisitos,<p>Las aseguradoras deberán cumplir con las siguientes normas:</p>,"<table align=""center"" cellspacing=""0"" class=""Table"" style=""border-collapse:collapse; border:none; width:100.0%"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid; border-left:2px double; border-right:1px solid; border-top:2px double; height:46px; vertical-align:top; width:23%"">
			<p><strong><em>No. De Artículo</em></strong></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:2px double black; border-top:2px double black; height:46px; vertical-align:top; width:76%"">
			<p><strong><em>&nbsp;Normas</em></strong></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:2px double black; border-right:1px solid black; border-top:none; height:62px; vertical-align:top; width:23%"">
			<p><em>[insertar el No. del Artículo]</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:2px double black; border-top:none; height:62px; vertical-align:top; width:76%"">
			<p><em>[indicar y Normas]</em></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:2px double black; border-right:1px solid black; border-top:none; height:30px; vertical-align:top; width:23%"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:2px double black; border-top:none; height:30px; vertical-align:top; width:76%"">
			<p>&nbsp;</p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:2px double black; border-left:2px double black; border-right:1px solid black; border-top:none; height:31px; vertical-align:top; width:23%"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:2px double black; border-left:none; border-right:2px double black; border-top:none; height:31px; vertical-align:top; width:76%"">
			<p>&nbsp;</p>
			</td>
		</tr>
	</tbody>
</table>",,<p><em>Detalle de las especificaciones técnicas y de las normas<strong> </strong>[cuando se requiera]. [Indicar una descripción detallada de las EETT]</em></p>,True,False,False
Identificación de la unidad solicitante y justificaciones,<p>En este apartado la convocante deberá indicar los siguientes datos:</p>,"<ul>
	<li>Identificar el nombre, &nbsp;cargo&nbsp; y&nbsp; la dependencia de la Institución de quien solicita el procedimiento de contratación a ser publicado.</li>
	<li>Justificación&nbsp;de la necesidad que se pretende satisfacer mediante la contratación a ser realizada.</li>
	<li>Justificación de&nbsp;la planificación, si se trata de un procedimiento de contratación&nbsp;periódico o sucesivo, &nbsp;o si el mismo responde a una necesidad temporal.</li>
	<li>Justificación de&nbsp;las especificaciones técnicas establecidas.</li>
</ul>",,,True,False,False
De las MIPYMES,,"<p>Para los procedimientos de Menor Cuantía, este tipo de procedimiento de contratación estará preferentemente reservado a las MIPYMES, de conformidad al artículo 34 inc b) de la Ley N° 7021/22 ‘’De Suministro y Contrataciones Públicas"". Son consideradas Mipymes las unidades económicas que, según la dimensión en que organicen el trabajo y el capital, se encuentren dentro de las categorías establecidas en el Artículo 5° de la Ley N° 4457/2012 ‘’PARA LAS MICRO, PEQUEÑAS Y MEDIANAS EMPRESAS’’, y se ocupen del trabajo artesanal, industrial, agroindustrial, agropecuario, forestal, comercial o de servicio</p>",,,False,False,False
Planos y diseños,"<p style=""margin-left:7px"">Para la presente contratación se pone a disposición los siguientes planos o diseños:</p>","<table cellspacing=""0"" class=""Table"" style=""border-collapse:collapse; border:none; width:652px"">
	<tbody>
		<tr>
			<td colspan=""3"" style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:42px; vertical-align:top"">
			<p><strong>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Lista de Planos o Diseños</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:42px; vertical-align:top"">
			<p><strong>Plano o Diseño No.</strong></p>

			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:42px; vertical-align:top"">
			<p><strong>Nombre del Plano o Diseño</strong></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:42px; vertical-align:top"">
			<p><strong>Propósito</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:42px; vertical-align:top"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:42px; vertical-align:top"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:42px; vertical-align:top"">
			<p>&nbsp;</p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:42px; vertical-align:top"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:42px; vertical-align:top"">
			<p>&nbsp;</p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:42px; vertical-align:top"">
			<p>&nbsp;</p>
			</td>
		</tr>
	</tbody>
</table>",,"<p><em>[En este apartado se deberá citar de ser necesario los planos o diseños que pone a disposición de los oferentes para la preparación de la oferta por ejemplo en los casos que los bienes a asegurar sean inmuebles, maquinarias, etc]</em></p>",True,True,False
Inspecciones y pruebas.,"<p style=""margin-left:7px"">Las inspecciones y pruebas serán como se indica a continuación:</p>",,,<p><em>(Insertar la lista de inspecciones y pruebas).</em></p>,True,True,False
Capacitación.,,"<p>La aseguradora que haya ganado el procedimiento de contratación, dentro del plazo de 30 días corridos desde la emisión de la póliza, deberá realizar una capacitación al área encargada de gestionar el contrato de seguros, explicando de qué se trata el riesgo cubierto, las cargas del asegurado, medios de comunicaciones aplicados para la agravación del riesgo y la denuncia del siniestro, plazos legales y condiciones contractuales establecidos por las partes.</p>

<p>Esta capacitación deberá realizarse en el lugar indicado por la convocante, tener una duración de entre 40 a 120 minutos (De una a tres horas cátedras) y al finalizar quedará constancia de ella en un documento comprobatorio (Acta o certificado y lista de asistencia)..</p>",,,False,False,False
Indicadores de Cumplimiento,"<p style=""margin-left:7px"">El documento requerido para acreditar el cumplimiento contractual, será:</p>","<table cellspacing=""0"" class=""Table"" style=""border-collapse:collapse"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:117px; width:226px"">
			<p><strong>INDICADOR</strong></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:1px solid black; height:117px; width:198px"">
			<p><strong>TIPO</strong></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:1px solid black; height:117px; width:224px"">
			<p><strong>FECHA DE PRESENTACIÓN PREVISTA </strong><em>(se indica la fecha que debe presentar según el PBC)</em></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:24px; vertical-align:top; width:226px"">
			<p><em>Informe 1</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:24px; vertical-align:top; width:198px"">
			<p><em>Informe</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:24px; vertical-align:top; width:224px"">
			<p><em>Mayo 202</em></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:226px"">
			<p><em>Informe 2</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:198px"">
			<p><em>Informe</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:224px"">
			<p><em>Junio 202</em></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:226px"">
			<p><em>Informe 3</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:198px"">
			<p><em>Informe</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:224px"">
			<p><em>Julio 202</em></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:24px; vertical-align:top; width:226px"">
			<p><em>Informe 4</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:24px; vertical-align:top; width:198px"">
			<p><em>Informe</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:24px; vertical-align:top; width:224px"">
			<p><em>Agosto 202</em></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:226px"">
			<p><em>Informe 5</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:198px"">
			<p><em>Informe</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:224px"">
			<p><em>Septiembre 202</em></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:226px"">
			<p><em>Informe 6</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:198px"">
			<p><em>Informe</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:224px"">
			<p><em>Octubre 202</em></p>
			</td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:226px"">
			<p><em>Informe 7</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:198px"">
			<p><em>Informe</em></p>
			</td>
			<td style=""border-bottom:1px solid black; border-left:none; border-right:1px solid black; border-top:none; height:23px; vertical-align:top; width:224px"">
			<p><em>Noviembre 202</em></p>
			</td>
		</tr>
	</tbody>
</table>",,"<p>(<em>Ejemplos: Para bienes: nota de remisión total o parciales o acta de recepción parcial o total. / Para Servicios: Informes mensuales o final)</em></p>

<p><em>&nbsp;Frecuencia: mensual.</em></p>",True,False,False
Interpretación,,"<p>1. Si el contexto así lo requiere, el singular significa el plural y viceversa; y ""día""&nbsp;significa día calendario, salvo que se haya indicado expresamente que se trata de días hábiles.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p>2. Condiciones prohibidas, inválidas o inejecutables. Si cualquier provisión o condición del contrato es prohibida o resultase inválida o inejecutable, dicha prohibición, invalidez o falta de ejecución no afectará la validez o el cumplimiento de las otras provisiones o condiciones del contrato.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p>3. Limitación de Dispensas:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p style=""margin-left:28px"">a) Toda dispensa a los derechos o facultades de una de las partes en virtud del contrato, deberá ser documentada por escrito, indicar la fecha, estar firmada por un representante autorizado de la parte que otorga dicha dispensa, deberá especificar la obligación dispensada y el alcance de la dispensa.</p>

<p style=""margin-left:28px"">b) Sujeto a lo indicado en el inciso precedente, ningún retraso, prórroga, demora o aprobación por cualquiera de las partes al hacer cumplir algún término y condición del contrato o el otorgar prórrogas por una de las partes a la otra, perjudicará, afectará o limitará los derechos de esa parte en virtud del contrato. Asimismo, ninguna prórroga concedida por cualquiera de las partes por un incumplimiento del contrato, servirá de dispensa para incumplimientos posteriores o continuos del contrato.</p>",,,False,False,False
Formalización de la contratación,<p>Se formalizará esta contratación mediante:</p>,,,"<p style=""margin-left:24px"">Indicar si se utilizará un contrato o una orden de compra o servicio, de acuerdo a lo establecido en el artículo 37 Inc. e) de la Ley N° 7021/22 ‘’De Suministro y Contrataciones Públicas’’, salvo los casos de obras y consultoría, en los que deberá suscribirse un contrato.</p>",True,False,False
Documentación a presentar acompañando la póliza emitida,"<p>Luego de la notificación de adjudicación, el proveedor deberá presentar en el plazo establecido en las reglamentaciones vigentes, los documentos indicados en el presente apartado.</p>","<ol>
	<li><strong>Personas jurídicas</strong></li>
</ol>

<ul>
	<li>Certificado de no encontrarse en quiebra o en convocatoria de acreedores expedido por la Dirección General de Registros Públicos;</li>
	<li>Certificado de no hallarse en interdicción judicial expedido por la Dirección General de Registros Públicos;</li>
	<li>Constancia de no adeudar aporte obrero patronal expedida por el Instituto de Previsión Social;</li>
	<li>Certificado laboral vigente expedido por la Dirección de Obrero Patronal dependiente del Viceministerio de Trabajo, siempre que el sujeto esté&nbsp;obligado a contar con el mismo de conformidad a la reglamentación pertinente&nbsp;- CPS;</li>
	<li>En el caso que suscriba el contrato otra persona en su representación, acompañar poder suficiente del apoderado para asumir todas las obligaciones emergentes del contrato hasta su terminación;</li>
	<li>Presentar el original y/o fotocopia autenticada del contrato de reaseguro cubriendo el porcentaje establecido en las bases y condiciones, los riesgos y pólizas adjudicadas;</li>
	<li>En caso de corredores de seguro (Bróker) presentar el original y/o fotocopia autenticada del Contrato de Reaseguro cubriendo el porcentaje establecido en las bases y condiciones, los riesgos y pólizas adjudicadas;</li>
	<li>Certificado de cumplimiento tributario vigente a la emisión de la póliza.</li>
</ul>

<p style=""margin-left:40px"">1.1.&nbsp;La presentación de los certificados emitidos por las autoridades competentes para cada caso en particular, en el marco de los supuestos del Art. 21 de la Ley N° 7021/22.</p>

<p style=""margin-left:40px"">2<strong>. Empresas coaseguradoras.</strong></p>

<ul>
	<li>Cada empresa integrante del coaseguro deberá presentar los documentos requeridos para oferentes individuales especificados en el apartado precedente;</li>
	<li>Contrato de coaseguro cumpliendo las disposiciones establecidas en la reglamentación emitida por la Superintendencia de Seguros relativa a las operaciones en coaseguros. El contrato debe estar formalizado por instrumento privado con certificación de firmas por escribano público;</li>
	<li>Documentos que acrediten las facultades del firmante del contrato;</li>
	<li>En el caso que suscriba el contrato otra persona en su representación, acompañar poder suficiente del apoderado para asumir todas las obligaciones emergentes del contrato hasta su terminación;</li>
	<li>Presentar el original o fotocopia autenticada del contrato de reaseguro cubriendo el porcentaje establecido en las bases y condiciones, los riesgos y pólizas adjudicadas;</li>
	<li>En caso de corredores de Seguro (Bróker) presentar el original o fotocopia del contrato de reaseguro cubriendo el porcentaje establecido en las bases y condiciones, los riesgos y pólizas adjudicadas.</li>
</ul>","<p>La convocante deberá requerir la presentación de los certificados, de conformidad al numeral 1.1, al oferente que resultare adjudicado, con anterioridad a la firma del contrato. Si el oferente no presentare dichos certificados o realizare una declaración jurada falsa, la adjudicación será revocada, la garantía de mantenimiento de oferta será ejecutada y los antecedentes serán remitidos a la Dirección Nacional de Contrataciones Públicas.</p>",,False,False,False
Coaseguros.,,"<p>Si los servicios serán proveídos por empresas coaseguradoras o se contratan pólizas en coaseguro. Cada asegurador por separado será responsable por una parte de la suma total asegurada, conforme al compromiso de riesgo asumido por cada uno de los coaseguradores.</p>",,,False,False,False
Alcance de la cobertura de seguro,,"<p style=""margin-left:24px"">La cobertura de la póliza se regirá conforme al pliego de bases y condiciones y puntualmente a las especificaciones técnicas establecidas en el mismo quedando por tanto sin efecto las condiciones generales, específicas y particulares de las pólizas contratadas que se contrapongan o difieran a los términos y condiciones establecidos en dicho documento concursal.</p>",,,False,False,False
Denuncia del siniestro por parte de la convocante,,"<p style=""margin-left:24px"">El administrador del contrato comunicará a la aseguradora, con copia a las autoridades pertinentes, el acaecimiento del siniestro dentro de los tres días de conocerlo.</p>

<p style=""margin-left:24px"">El asegurador no podrá alegar el retardo o la omisión, si interviene en el mismo plazo en las operaciones de salvamento o de comprobación del siniestro o del daño.</p>

<p style=""margin-left:24px"">El administrador del contrato suministrará al asegurador, a su pedido, la información necesaria para verificar el siniestro, o la extensión de la prestación a su cargo, y a permitirle las indagaciones necesarias a tal fin.</p>",,,False,False,False
Contrato.,,"<p style=""margin-left:24px"">El valor en concepto de premio que cobre el proveedor por servicios prestados en virtud del contrato no podrá ser diferente del cotizado en su oferta. Considerando que la característica de la contratación es por prima fija, los contratos no podrán prever fórmulas y condiciones de reajuste de contratos.</p>

<p style=""margin-left:24px"">No formará parte del valor de la prima, la comisión por pago a agentes, considerando que la contratación es directa y no configura comisión por intermediación.</p>",,,False,False,False
Subcontratación,<p>El porcentaje permitido para la subcontratación será de:</p>,,"<p>La subcontratación del contrato deberá ser realizada conforme a las disposiciones contenidas en la Ley, el Decreto Reglamentario y la reglamentación que emita para el efecto la DNCP.</p>","<p>[Indicar aquí el porcentaje permitido, recordando siempre el límite dispuesto por la normativa legal vigente (60%). Además, en este apartado podrán indicar que parte del contrato podrá ser subcontratado. En caso de no permitirse la subcontratación, se deberá seleccionar la opción:&nbsp;No Aplica].</p>",True,True,False
Confidencialidad de la información,,"<p>1. No deberá darse a conocer información alguna acerca del análisis, aclaración y evaluación de las ofertas, mientras dure el mismo de conformidad con el artículo N° 52 de la Ley N° 7021/22 ‘’De Suministro y Contrataciones Públicas’’, ni sobre las recomendaciones relativas a la adjudicación, después de la apertura en público de las ofertas, a los oferentes ni a personas no involucradas en el proceso de evaluación, hasta que haya sido dictada la resolución de adjudicación cuando se trate de un solo sobre. En las respuestas a las solicitudes de aclaración, los oferentes deberán indicar si la información suministrada es de carácter reservado, debiendo precisar la norma legal que la establece como secreta o de carácter reservado, de conformidad a lo estipulado en la Ley N° 5282/14 ‘’DE LIBRE ACCESO CIUDADANO A LA INFORMACIÓN PÚBLICA Y TRANSPARENCIA GUBERNAMENTAL’’. Cuando se trate de dos sobres, la confidencialidad de la primera etapa será hasta la emisión del acto administrativo de selección de ofertas técnicas, reanudándose la confidencialidad después de la apertura en público de las ofertas económicas hasta la emisión de la resolución de adjudicación.</p>

<p>2. La contratante y el proveedor deberán mantener confidencialidad y en ningún momento divulgarán a terceros, sin el consentimiento de la otra parte, documentos, datos u otra información que hubiera sido directa o indirectamente proporcionada por la otra parte en conexión con el contrato, antes, durante o después de la ejecución del mismo. No obstante, el proveedor podrá proporcionar a sus subcontratistas los documentos, datos e información recibidos de la contratante para que puedan cumplir con su trabajo en virtud del contrato. En tal caso, el proveedor obtendrá de dichos subcontratistas un compromiso de confidencialidad similar al requerido al proveedor en la presente cláusula.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p>3. La contratante no utilizará dichos documentos, datos u otra información recibida del proveedor para ningún uso que no esté relacionado con el contrato. Así mismo el proveedor no utilizará los documentos, datos u otra información recibida de la contratante para ningún otro propósito diferente al de la ejecución del contrato.</p>

<p>4. La obligación de las partes arriba mencionadas, no aplicará a la información que:</p>

<ol style=""list-style-type:lower-alpha"">
	<li>La contratante o el proveedor requieran compartir con otras instituciones que participan en el financiamiento del contrato,</li>
	<li>Actualmente o en el futuro se hace de dominio público sin culpa de ninguna de las partes,</li>
	<li>Puede comprobarse que estaba en posesión de esa parte en el momento que fue divulgada y no fue previamente obtenida directa o indirectamente de la otra parte, o</li>
	<li>Que de otra manera fue legalmente puesta a la disponibilidad de esa parte por un tercero que no tenía obligación de confidencialidad.</li>
</ol>

<p>5. Las disposiciones precedentes no modificarán de ninguna manera ningún compromiso de confidencialidad otorgado&nbsp;por cualquiera de las partes a quien esto compete antes de la fecha del contrato con respecto a los suministros o cualquier parte de ellos.</p>

<p>6. Las disposiciones de esta cláusula permanecerán válidas después del cumplimiento o terminación del contrato por cualquier razón.</p>",,,False,False,False
Obligatoriedad de declarar información del personal del proveedor o contratista en el SICP,,"<p>1.&nbsp;El proveedor deberá proporcionar los datos de identificación de sus subproveedores, así como de las personas físicas por medio de las cuales propone cumplir con las obligaciones del contrato, dentro de los treinta días&nbsp;posteriores a la obtención del código de contratación, y con anterioridad al primer pago que vaya a percibir en el marco de dicho contrato, con las especificaciones respecto a cada una de ellas. A ese respecto, el contratista deberá consignar dichos datos en el Formulario de Identificación del Personal (FIP) y en el Formulario de Identificación de Servicios Personales (FIS), a través del Registro del Proveedor del Estado.&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p>2. Cuando ocurra algún cambio en la nómina del personal o de los subcontratistas propuestos, el proveedor o contratista está obligado a actualizar el FIP.</p>

<p>3. Como requerimiento para efectuar los pagos a los proveedores o contratistas, la contratante, a través del procedimiento establecido para el efecto por la entidad previsional, verificará que el proveedor o contratista se encuentre al día en el cumplimiento con sus obligaciones para con el Instituto de Previsión Social (IPS).</p>

<p>4. La contratante podrá realizar las diligencias que considere necesarias para verificar que la totalidad de las personas que prestan servicios personales en relación de dependencia para la contratista y eventuales subcontratistas se encuentren debidamente individualizados en los listados recibidos.</p>

<p>5. El proveedor o contratista deberá permitir y facilitar los controles de cumplimiento de sus obligaciones de aporte obrero patronal, tanto los que fueran realizados por la contratante como los realizados por el IPS, y por funcionarios de la DNCP. La negativa expresa o tácita se considerará incumplimiento del contrato por causa imputable al proveedor o contratista.</p>

<p>6. En caso de detectarse que el proveedor o contratista o alguno de los subcontratistas, no se encontraran al día con el cumplimiento de sus obligaciones para con el IPS, deberán ser emplazados por la contratante para que en diez (10) días hábiles cumplan con sus obligaciones pendientes con la previsional. En el caso de que no lo hiciera, se considerará incumplimiento del contrato por causa imputable al proveedor o contratista.</p>",,,False,False,False
Porcentaje de Garantía de Fiel Cumplimiento de Contrato,<p>El Porcentaje de Garantía de Fiel Cumplimiento de Contrato es de:</p>,,<p>El proveedor debe presentar esta garantía dentro de los 10 días corridos siguientes a la fecha de suscripción del contrato.</p>,"<p>Indicar en este apartado el porcentaje que deberá tener la garantía de cumplimiento de contrato.</p>

<p>&nbsp;</p>",True,False,False
Forma de Instrumentación de Garantía de Fiel Cumplimiento de Contrato,,<p>La garantía adoptará alguna de las siguientes formas:&nbsp;Garantía bancaria o Póliza de Seguros.</p>,,,False,False,False
